Voltage,Beam Radius,Trial 1,Trial 2,Trial 3,Average,Coil 6.5
150,3.5,1.686,1.685,1.685,1.685333333,
175,3.5,1.741,1.74,1.739,1.74,
200,3.5,1.855,1.854,1.858,1.855666667,
225,3.5,1.921,1.922,1.923,1.922,
250,3.5,1.964,1.962,1.964,1.963333333,
150,4,1.51,1.511,1.515,1.512,
175,4,1.644,1.644,1.646,1.644666667,
200,4,1.764,1.745,1.752,1.753666667,
225,4,1.854,1.851,1.854,1.853,
250,4,1.953,1.952,1.952,1.952333333,
150,4.5,1.328,1.348,1.333,1.336333333,
175,4.5,1.47,1.485,1.494,1.483,
200,4.5,1.562,1.567,1.563,1.564,
225,4.5,1.654,1.673,1.638,1.655,
247,4.5,1.725,1.725,1.737,1.729,
150,5,1.218,1.217,1.216,1.217,
175,5,1.303,1.316,1.306,1.308333333,
200,5,1.431,1.431,1.419,1.427,
225,5,1.519,1.5,1.51,1.509666667,
247,5,1.618,1.609,1.621,1.616,
,,,,,,
,,,,,#DIV/0!,
,,,,,#DIV/0!,
,,,,,#DIV/0!,
,,,,,#DIV/0!,
