Rod,Material,R1,R2,R3,R,Theta,Q,Amount of Electrons,Gravitational Force,Coulomb's Force
rubber (black),silk,0.03,0.02,0.02,0.023,0.056,1.13708E-09,7106770141,2.01739E-16,2.19974E-05
rubber (black),fur,0.04,0.035,0.035,0.036,0.087,2.22001E-09,13875039277,8.23457E-17,3.42252E-05
rubber (black),wool,0.04,0.04,0.042,0.04,0.097,2.60538E-09,16283646499,6.67E-17,3.81826E-05
rubber (black),plastic,0.024,0.03,0.025,0.026,0.063,1.36356E-09,8522253272,1.5787E-16,2.4754E-05
nylon (gray),silk,0,0,0,0,0,0,0,,
nylon (gray),fur,0.01,0.006,0.006,0.007,0.017,1.90584E-10,1191150624,2.17796E-15,6.67144E-06
nylon (gray),wool,0.004,0.002,0.002,0.002,0.004,2.64122E-11,165076180.4,2.668E-14,1.56961E-06
nylon (gray),plastic,0.02,0.014,0.022,0.018,0.043,7.79622E-10,4872635082,3.29383E-16,1.68836E-05
lucite/acrylic (clear),silk,0.004,0.006,0.004,0.004,0.009,7.92374E-11,495233906.3,6.67E-15,3.5317E-06
lucite/acrylic (clear),fur,0.001,0,0,0,0,0,0,,
lucite/acrylic (clear),wool,0.01,0.008,0.006,0.008,0.019,2.30269E-10,1439183535,1.6675E-15,7.4565E-06
lucite/acrylic (clear),plastic,0.05,0.053,0.048,0.05,0.122,3.65573E-09,22848320323,4.2688E-17,4.81117E-05
acetate/rayon (white),silk,0,0,0,0,0,0,0,,
acetate/rayon (white),fur,0,0,0.002,0,0,0,0,,
acetate/rayon (white),wool,0.004,0.003,0.004,0.003,0.007,5.24104E-11,327564692.2,1.18578E-14,2.74684E-06
acetate/rayon (white),plastic,0.016,0.016,0.02,0.017,0.041,7.18962E-10,4493511260,3.69273E-16,1.60974E-05
PVC/vinyl (blue),silk,0.01,0.006,0.008,0.008,0.019,2.30269E-10,1439183535,1.6675E-15,7.4565E-06
PVC/vinyl (blue),fur,0.01,0.006,0.016,0.01,0.024,3.23512E-10,2021950786,1.0672E-15,9.41941E-06
PVC/vinyl (blue),wool,0.046,0.042,0.042,0.043,0.105,2.91478E-09,18217402023,5.77177E-17,4.13541E-05
PVC/vinyl (blue),plastic,0.038,0.038,0.036,0.037,0.09,2.32089E-09,14505531582,7.79547E-17,3.54117E-05
