Voltage (v),Time (s),Voltage (v),Time (s),Voltage (v),Time (s),Trial,Slope,Trial,?
8.089,2,8.086,1,8.087,1,1,0.0215,1,46.51162791
8,4,8,2,8,2,2,0.0214,2,46.72897196
7.5,7,7.5,5,7.5,5,3,0.0212,3,47.16981132
7,10,7,8,7,8,,,,46.8034704
6.5,13,6.5,11,6.5,11,,,,
6,17,6,16,6,15,,,,
5.5,21,5.5,20,5.5,19,,,,
5,25,5,24,5,23,,,,
4.5,31,4.5,29,4.5,29,,,,
4,36,4,34,4,34,,,,
3.5,43,3.5,41,3.5,41,,,,
3,50,3,48,3,48,,,,
2.5,59,2.5,57,2.5,57,,,,
2,70,2,68,2,68,,,,
1.5,84,1.5,82,1.5,82,,,,
1,102,1,102,1,102,,,,
,,,,,,,,,
ln(v(t)),t,ln(v(t)),t,ln(v(t)),t,Trial,Slope,Trial,?
2.090505114,2,2.090134171,1,2.090257834,1,1,-0.020924942,1,-47.7898571
2.079441542,4,2.079441542,2,2.079441542,2,2,-0.020952783,2,-47.72635591
2.014903021,7,2.014903021,5,2.014903021,5,3,-0.020771109,3,-48.14379549
1.945910149,10,1.945910149,8,1.945910149,8,,,,-47.8866695
1.871802177,13,1.871802177,11,1.871802177,11,,,,
1.791759469,17,1.791759469,16,1.791759469,15,,,,
1.704748092,21,1.704748092,20,1.704748092,19,,,,
1.609437912,25,1.609437912,24,1.609437912,23,,,,
1.504077397,31,1.504077397,29,1.504077397,29,,,,
1.386294361,36,1.386294361,34,1.386294361,34,,,,
1.252762968,43,1.252762968,41,1.252762968,41,,,,
1.098612289,50,1.098612289,48,1.098612289,48,,,,
0.916290732,59,0.916290732,57,0.916290732,57,,,,
0.693147181,70,0.693147181,68,0.693147181,68,,,,
0.405465108,84,0.405465108,82,0.405465108,82,,,,
0,102,0,102,0,102,,,,
-0.020924942,-47.7898571,-0.020952783,-47.72635591,-0.020771109,-48.14379549,,,,
